university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0025,,,,,TH0000000001,,,,,,,,,,1,,9
,,C0025,,,,,TH0000000002,,,,,,,,,,2,,9
,,C0025,,,,,TH0000000003,,,,,,,,,,3,,9
,,C0026,,,,,TH0000000004,,,,,,,,,,1,,9
,,C0026,,,,,TH0000000005,,,,,,,,,,2,,9
,,C0027,,,,,TH0000000006,,,,,,,,,,1,,9
,,C0027,,,,,TH0000000007,,,,,,,,,,2,,9
,,C0027,,,,,TH0000000008,,,,,,,,,,3,,9
,,C0028,,,,,TH0000000009,,,,,,,,,,1,,9
,,C0028,,,,,TH0000000010,,,,,,,,,,2,,9
,,C0029,,,,,TH0000000011,,,,,,,,,,3,,9
,,C0029,,,,,TH0000000012,,,,,,,,,,1,,9
,,C0029,,,,,TH0000000013,,,,,,,,,,2,,9
,,C0030,,,,,TH0000000014,,,,,,,,,,1,,9
,,C0030,,,,,TH0000000015,,,,,,,,,,2,,9
,,C0030,,,,,TH0000000016,,,,,,,,,,3,,9
,,C0031,,,,,TH0000000017,,,,,,,,,,1,,9
,,C0031,,,,,TH0000000018,,,,,,,,,,2,,9
,,C0032,,,,,TH0000000019,,,,,,,,,,1,,9
,,C0032,,,,,TH0000000020,,,,,,,,,,2,,9
