university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0015,,,,,TH0000000401,,,,,,,,,,1,,9
,,C0015,,,,,TH0000000402,,,,,,,,,,2,,9
,,C0015,,,,,TH0000000403,,,,,,,,,,3,,9
,,C0016,,,,,TH0000000404,,,,,,,,,,1,,9
,,C0016,,,,,TH0000000405,,,,,,,,,,2,,9
,,C0017,,,,,TH0000000406,,,,,,,,,,1,,9
,,C0017,,,,,TH0000000407,,,,,,,,,,2,,9
,,C0017,,,,,TH0000000408,,,,,,,,,,3,,9
,,C0018,,,,,TH0000000409,,,,,,,,,,1,,9
,,C0018,,,,,TH0000000410,,,,,,,,,,2,,9
,,C0018,,,,,TH0000000411,,,,,,,,,,3,,9
,,C0018,,,,,TH0000000412,,,,,,,,,,4,,9
,,C0019,,,,,TH0000000413,,,,,,,,,,1,,9
,,C0019,,,,,TH0000000414,,,,,,,,,,2,,9
,,C0020,,,,,TH0000000415,,,,,,,,,,1,,9
,,C0020,,,,,TH0000000416,,,,,,,,,,2,,9
,,C0021,,,,,TH0000000417,,,,,,,,,,1,,9
,,C0021,,,,,TH0000000418,,,,,,,,,,2,,9
,,C0021,,,,,TH0000000419,,,,,,,,,,3,,9
,,C0022,,,,,TH0000000420,,,,,,,,,,1,,9
,,C0022,,,,,TH0000000421,,,,,,,,,,2,,9
,,C0022,,,,,TH0000000422,,,,,,,,,,3,,9
,,C0022,,,,,TH0000000423,,,,,,,,,,4,,9
,,C0023,,,,,TH0000000424,,,,,,,,,,1,,9
,,C0023,,,,,TH0000000425,,,,,,,,,,2,,9
,,C0023,,,,,TH0000000426,,,,,,,,,,3,,9
,,C0024,,,,,TH0000000427,,,,,,,,,,1,,9
,,C0024,,,,,TH0000000428,,,,,,,,,,2,,9
