citizen_id,course_id,ranking
TH0000000401,C0015,1
TH0000000402,C0015,2
TH0000000403,C0015,3
TH0000000404,C0016,1
TH0000000405,C0016,2
TH0000000406,C0017,1
TH0000000407,C0017,2
TH0000000408,C0017,3
TH0000000409,C0018,1
TH0000000410,C0018,2
TH0000000411,C0018,3
TH0000000412,C0018,4
TH0000000413,C0019,1
TH0000000414,C0019,2
TH0000000415,C0020,1
TH0000000416,C0020,2
TH0000000417,C0021,1
TH0000000418,C0021,2
TH0000000419,C0021,3
TH0000000420,C0022,1
TH0000000421,C0022,2
TH0000000422,C0022,3
TH0000000423,C0022,4
TH0000000424,C0023,1
TH0000000425,C0023,2
TH0000000426,C0023,3
TH0000000427,C0024,1
TH0000000428,C0024,2
